logical_no,source_rows,section,section_code,feature_code,tariff_code,service_code,fee_code,name_fa,calc_source_type,calc_strategy,basis_type,fixed_amount,source_percent,rate_value,min_fee,max_fee,rate_period_code,currency_code,source_notes,source_service_text,source_max_text,import_status,review_reason,config_hash,tier_first_upper
88,"93,94,95",ارزیابی اموال منقول و غیرمنقول,APP,CBI_APPRAISAL_FEE_GROUP,7-3,,CBI1404_APP_7_3_01,ارزیابی املاک مزروعی و باغات,پلکانی,COMPOSITE,RatePerBrackets,,0.2,0.002,,,,IRR,,"تا دو میلیارد ریال مبلغ ارزیابی 2,587,500 ریال؛ بیش از دو میلیارد ریال تا 400 میلیارد ریال نسبت به مازاد، 2 در هزار یا معادل تعرفه کارشناسان رسمی دادگستری هر کدام که کمتر باشد؛ مازاد بر 400 میلیارد ریال ارجاع به کارشناس رسمی دادگستری",,SAFE_TIERED_EXTERNAL,پله سوم و تعرفه کارشناس رسمی مقدار بیرونی هستند؛ وابستگی خارجی صریحاً مدل شده و عددی جعل نشده است.,033144495948958b8d1348ff82103a68b30d0f425bfb685f2b79ad012a45dad3,2000000000
89,"96,97,98",ارزیابی اموال منقول و غیرمنقول,APP,CBI_APPRAISAL_FEE_GROUP,7-3,,CBI1404_APP_7_3_02,ارزیابی تسهیلات مشارکت مدنی و پیشرفت فیزیکی پروژه ها (برآورد هزینه و آورده غیرنقدی شریک),پلکانی,COMPOSITE,RatePerBrackets,,0.2,0.002,,,,IRR,,"تا دو میلیارد ریال مبلغ ارزیابی 2,587,500 ریال؛ بیش از دو میلیارد ریال تا 400 میلیارد ریال نسبت به مازاد، 2 در هزار یا معادل تعرفه کارشناسان رسمی دادگستری هر کدام که کمتر باشد؛ مازاد بر 400 میلیارد ریال ارجاع به کارشناس رسمی دادگستری",,SAFE_TIERED_EXTERNAL,پله سوم و تعرفه کارشناس رسمی مقدار بیرونی هستند؛ وابستگی خارجی صریحاً مدل شده و عددی جعل نشده است.,0dfbb498627f78be3a733a5abe2d1f89ca30ada0881a927afcec62d73b4991c7,2000000000
91,100,ارزیابی اموال منقول و غیرمنقول,APP,CBI_APPRAISAL_FEE_GROUP,7-3,,CBI1404_APP_7_3_04,ارزیابی مجدد به درخواست مشتری (به غیر از تسهیلات جعاله تعمیر مسکن),,EXTERNAL_VALUE,Other,,,,,,,IRR,,الف) در صورتی که ارزیابی مجدد به درخواست مؤسسه اعتباری یا سایر مراجع ذی صالح انجام شود، کارمزدی از مشتری اخذ نخواهد شد؛ ب) در صورتی که ارزیابی مجدد به درخواست مشتری انجام شود و تاریخ درخواست مشتری تا 6 ماه پس از ارزیابی قبلی باشد، حداکثر کارمزد قابل مطالبه به مأخذ 30 درصد رقم کل کارمزد ارزیابی محاسبه و اخذ شود و اگر تاریخ درخواست مشتری پس از 6 ماه از ارزیابی قبلی باشد، در چارچوب ردیف های(1-7) الی(4-7) کارمزد ارزیابی اموال دریافت شود.,,EXTERNAL_RULE,فرمول ساختاری در ستون های فایل منبع ارائه نشده است؛ متن منبع بدون تبدیل به فرمول اجرایی حفظ شد.,e2a1e28b3fccfdab1aab2a72597e2ccbe6b1422445cea51304d6ce4e0eb8ef85,
92,"101,102,103",ارزیابی اموال منقول و غیرمنقول,APP,CBI_APPRAISAL_FEE_GROUP,7-3,,CBI1404_APP_7_3_05,ارزیابی وثایق غیرمنقول مازاد,پلکانی,COMPOSITE,RatePerBrackets,,0.2,0.002,,,,IRR,,"تا دو میلیارد ریال مبلغ ارزیابی 2,587,500 ریال؛ بیش از دو میلیارد ریال تا 400 میلیارد ریال نسبت به مازاد، 2 در هزار یا معادل تعرفه کارشناسان رسمی دادگستری هر کدام که کمتر باشد؛ مازاد بر 400 میلیارد ریال ارجاع به کارشناس رسمی دادگستری",,SAFE_TIERED_EXTERNAL,پله سوم و تعرفه کارشناس رسمی مقدار بیرونی هستند؛ وابستگی خارجی صریحاً مدل شده و عددی جعل نشده است.,7f4a37665a0af96d376233d450abfb2a3db2bd44faa8b0bd13ce637c0d07f5b9,2000000000
93,104,اعتبارات,CRD,CBI_CREDIT_FEE_GROUP,8-1,,CBI1404_CRD_8_1_01,اخذ استعلام اعتبارسنجی از شرکت رتبه بندی اعتباری ایران,پلکانی,EXTERNAL_VALUE,Other,,,,,,,IRR,,مطابق تعرفه ابالغی بانک مرکزی به شرکت مذکور,اخذ استعالم اعتبارسنجی از شرکت رتبه بندی اعتباری ایران,EXTERNAL_RULE,فایل منبع نوع را پلکانی اعلام کرده ولی پله های ساختاری قابل اتکا در همان ردیف وجود ندارد.,e72fa94b44724fd78a33325b5b7710c3629344f9b580f08530d2590493250e68,
94,105,اعتبارات,CRD,CBI_CREDIT_FEE_GROUP,8-2,,CBI1404_CRD_8_2_01,واگذاری سهم الشرکه بانک به غیر,,EXTERNAL_VALUE,Other,,,,,,,IRR,,مطابق تعرفه ارزیابی اموال منقول و غیرمنقول مندرج در سرفصل 7,واگذاری سهم الشرکه بانک به غیر,EXTERNAL_RULE,فرمول ساختاری در ستون های فایل منبع ارائه نشده است؛ متن منبع بدون تبدیل به فرمول اجرایی حفظ شد.,c76035c336eacf5b0d68913497e1e7304d1931d53bd0e1f75b8709478f4241f7,
110,121,اعتبارات,CRD,CBI_CREDIT_FEE_GROUP,8-18,,CBI1404_CRD_8_18_01,هزینه کارشناسی کالاهای سرمایه ای واحدهای تولیدی، خدماتی و بازرگانی خارج از طرح ***,,EXTERNAL_VALUE,Other,,,,,,,IRR,,در هزار تسهیالت مصوب(فقط سهم بانک) جهت تأمین کاالهای سرمایه ای شامل 0/5 در هزار مبلغ درخواستی به هنگام پذیرش طرح محاسبه و از مشتری اخذ گردیده و غیرقابل برگشت می باشد و مابقی آن در صورت تصویب تا میزان 1/5 در هزار پس از کسر 0/5 در هزار مبلغ مأخوذه قبلی، در زمان انعقاد قرارداد از مشتری اخذ می گردد.,هزینه کارشناسی کاالهای سرمایه ای واحدهای تولیدی، خدماتی و بازرگانی خارج از طرح ***,EXTERNAL_RULE,فرمول ساختاری در ستون های فایل منبع ارائه نشده است؛ متن منبع بدون تبدیل به فرمول اجرایی حفظ شد.,7555249291459eeebfac317731936886f59c37889be70abb2166ea7511ad50a8,
122,133,اعتبارات,CRD,CBI_CREDIT_FEE_GROUP,8-27,,CBI1404_CRD_8_27_01,هزینه استعلام از سازمان ثبت احوال کشور,,EXTERNAL_VALUE,Other,,,,,,,IRR,,معادل تعرفه اعلامی از سوی سازمان ثبت احوال کشور (مندرج در قانون بودجه سنواتی),,EXTERNAL_RULE,فرمول ساختاری در ستون های فایل منبع ارائه نشده است؛ متن منبع بدون تبدیل به فرمول اجرایی حفظ شد.,63ae78859b33b2ab15054c096c6a3f5845f967656d11d2c56ff25d4382d40f9a,
143,154,سایر خدمات,OTH,CBI_OTHER_SERVICE_FEE_GROUP,9-5,,CBI1404_OTH_9_5_01,گواهی اعلام بدهی و یا مانده هرگونه از حساب ها به مراجع ذی صلاح به درخواست مشتری**,مبلغ ثابت,EXTERNAL_VALUE,Other,,,,,,,IRR,,"180,000 ریال",,REVIEW_CONFLICT,"مبلغ ساختاری 18,000 ریال است ولی متن نوع خدمت 180,000 ریال ذکر می‌کند؛ نیازمند تأیید منبع مقرراتی.",e2759d45f7c30a84f784f98cb5bcf6ead6dda04c996dc2b6dcc81549ef401b74,
164,175,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,8,,CBI1404_ELEC_8_01,انتقال وجه شتابی کارت به کارت/ انتقال وجه کارت به شبا (خدمت سحاب),,EXTERNAL_VALUE,Other,,,,,,,IRR,,,,EXTERNAL_RULE,فرمول ساختاری در ستون های فایل منبع ارائه نشده است؛ متن منبع بدون تبدیل به فرمول اجرایی حفظ شد.,5f822bb721f8f03ba3d9e267b90b2eea93c5263d3b0ccb3339da6de6511803b4,
218,229,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,62,,CBI1404_ELEC_62_01,سامانه پرداخت حسابی(پل پی) - خرید حسابی (واریز آنی),,EXTERNAL_VALUE,Other,,,,,,,IRR,,,,EXTERNAL_RULE,فرمول ساختاری در ستون های فایل منبع ارائه نشده است؛ متن منبع بدون تبدیل به فرمول اجرایی حفظ شد.,6ce3f6c430bb3f22d2243493f5bfaf392f6c58001beb06bca4d3ad3aa27a230d,
219,230,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,63,,CBI1404_ELEC_63_01,سامانه پرداخت حسابی(پل پی) - خرید حسابی (واریز چرخه ای),,EXTERNAL_VALUE,Other,,,,,,,IRR,,,,EXTERNAL_RULE,فرمول ساختاری در ستون های فایل منبع ارائه نشده است؛ متن منبع بدون تبدیل به فرمول اجرایی حفظ شد.,c1213bf7a90311d6aa519adb8152c41b99e09b615e62cbbc78f291b28981dc50,
220,231,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,64,,CBI1404_ELEC_64_01,سامانه پرداخت حسابی(پل پی) - خرید حسابی (واریز روزانه),,EXTERNAL_VALUE,Other,,,,,,,IRR,,,,EXTERNAL_RULE,فرمول ساختاری در ستون های فایل منبع ارائه نشده است؛ متن منبع بدون تبدیل به فرمول اجرایی حفظ شد.,46ac5f9aee39f7d459cdfb742f2f5672b707aa4f578b1f1d6ed6aae5478fcd6f,
221,232,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,65,,CBI1404_ELEC_65_01,سامانه پرداخت حسابی (پل پی) - سرویس برگشت از خرید (Refund),,EXTERNAL_VALUE,Other,,,,,,,IRR,,,,EXTERNAL_RULE,فرمول ساختاری در ستون های فایل منبع ارائه نشده است؛ متن منبع بدون تبدیل به فرمول اجرایی حفظ شد.,f1438b74acfb26f3c61309afabc1b643f85cd072a2560191d585d104e5de1363,
222,233,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,66,,CBI1404_ELEC_66_01,سامانه پرداخت حسابی(پل پی) - درخواست دریافت وجه - سرویس Request to Pay,,EXTERNAL_VALUE,Other,,,,,,,IRR,,,,EXTERNAL_RULE,فرمول ساختاری در ستون های فایل منبع ارائه نشده است؛ متن منبع بدون تبدیل به فرمول اجرایی حفظ شد.,b787cb26656135805ae76100d3e5f31772059ed2bc56514aa8ef133398ad6559,
223,234,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,67,,CBI1404_ELEC_67_01,سامانه پرداخت حسابی(پل پی) - درخواست دریافت وجه مستمر - سرویس Direct Debit,,EXTERNAL_VALUE,Other,,,,,,,IRR,,,,EXTERNAL_RULE,فرمول ساختاری در ستون های فایل منبع ارائه نشده است؛ متن منبع بدون تبدیل به فرمول اجرایی حفظ شد.,6fe4d3e392c3d039f4ce7939b4d867e76e9a0851fc689f3b0150427925c7edfe,
227,238,خدمات الکترونیکی,ELEC,CBI_ELECTRONIC_SERVICE_FEE_GROUP,71,,CBI1404_ELEC_71_01,صدور دسته چک (اعم از کاغذی و الکترونیکی),,EXTERNAL_VALUE,Other,,,,,,,IRR,,,,EXTERNAL_RULE,فرمول ساختاری در ستون های فایل منبع ارائه نشده است؛ متن منبع بدون تبدیل به فرمول اجرایی حفظ شد.,e26acd971f20887a52634b1e88dd9ab9402c941939e2483e2150304060f64453,
