table,table_title,column,column_label,comment_fa,package,from_user_missing_list
REF_ALERT_RESOLUTION,نتیجه رسیدگی به هشدار,DESCRIPTION_FA,توضیحات فارسی,توضیحات فارسی نتیجه رسیدگی به هشدار,Compliance and Risk,Y
REF_ALERT_RESOLUTION,نتیجه رسیدگی به هشدار,SORT_ORDER,ترتیب نمایش,ترتیب نمایش نتیجه رسیدگی به هشدار در فهرست‌های مرجع,Compliance and Risk,Y
REF_ALERT_RESOLUTION,نتیجه رسیدگی به هشدار,IS_ACTIVE,فعال است؟,نشانگر فعال بودن نتیجه رسیدگی به هشدار؛ 1 فعال و 0 غیرفعال,Compliance and Risk,Y
REF_ALERT_RESOLUTION,نتیجه رسیدگی به هشدار,PARENT_CODE,کد والد,کد والد نتیجه رسیدگی به هشدار در ساختار سلسله‌مراتبی، در صورت کاربرد,Compliance and Risk,Y
REF_ALERT_RESOLUTION,نتیجه رسیدگی به هشدار,VALID_FROM,شروع اعتبار,تاریخ شروع اعتبار نتیجه رسیدگی به هشدار,Compliance and Risk,Y
REF_ALERT_RESOLUTION,نتیجه رسیدگی به هشدار,VALID_TO,پایان اعتبار,تاریخ پایان اعتبار نتیجه رسیدگی به هشدار,Compliance and Risk,Y
REF_ALERT_RESOLUTION,نتیجه رسیدگی به هشدار,RECORD_VERSION,نسخه رکورد,شماره نسخه رکورد نتیجه رسیدگی به هشدار برای کنترل هم‌زمانی,Compliance and Risk,Y
REF_ALERT_TYPE,نوع هشدار,ALERT_TYPE_CODE,کد نوع هشدار,کد نوع هشدار,Compliance and Risk,Y
REF_ALERT_TYPE,نوع هشدار,NAME_FA,عنوان فارسی,عنوان فارسی نوع هشدار,Compliance and Risk,Y
REF_ALERT_TYPE,نوع هشدار,NAME_EN,عنوان انگلیسی,عنوان انگلیسی نوع هشدار,Compliance and Risk,Y
REF_ALERT_TYPE,نوع هشدار,DESCRIPTION_FA,توضیحات فارسی,توضیحات فارسی نوع هشدار,Compliance and Risk,Y
REF_ALERT_TYPE,نوع هشدار,SORT_ORDER,ترتیب نمایش,ترتیب نمایش نوع هشدار در فهرست‌های مرجع,Compliance and Risk,Y
REF_ALERT_TYPE,نوع هشدار,IS_ACTIVE,فعال است؟,نشانگر فعال بودن نوع هشدار؛ 1 فعال و 0 غیرفعال,Compliance and Risk,Y
REF_ALERT_TYPE,نوع هشدار,PARENT_CODE,کد والد,کد والد نوع هشدار در ساختار سلسله‌مراتبی، در صورت کاربرد,Compliance and Risk,Y
REF_ALERT_TYPE,نوع هشدار,VALID_FROM,شروع اعتبار,تاریخ شروع اعتبار نوع هشدار,Compliance and Risk,Y
REF_ALERT_TYPE,نوع هشدار,VALID_TO,پایان اعتبار,تاریخ پایان اعتبار نوع هشدار,Compliance and Risk,Y
REF_ALERT_TYPE,نوع هشدار,RECORD_VERSION,نسخه رکورد,شماره نسخه رکورد نوع هشدار برای کنترل هم‌زمانی,Compliance and Risk,Y
REF_ASSIGNMENT_REASON,دلیل تخصیص,ASSIGNMENT_REASON_CODE,کد دلیل تخصیص,کد دلیل تخصیص,Identity and Party,Y
REF_ASSIGNMENT_REASON,دلیل تخصیص,NAME_FA,عنوان فارسی,عنوان فارسی دلیل تخصیص,Identity and Party,Y
REF_ASSIGNMENT_REASON,دلیل تخصیص,NAME_EN,عنوان انگلیسی,عنوان انگلیسی دلیل تخصیص,Identity and Party,Y
REF_ASSIGNMENT_REASON,دلیل تخصیص,DESCRIPTION_FA,توضیحات فارسی,توضیحات فارسی دلیل تخصیص,Identity and Party,Y
REF_ASSIGNMENT_REASON,دلیل تخصیص,SORT_ORDER,ترتیب نمایش,ترتیب نمایش دلیل تخصیص در فهرست‌های مرجع,Identity and Party,Y
REF_ASSIGNMENT_REASON,دلیل تخصیص,IS_ACTIVE,فعال است؟,نشانگر فعال بودن دلیل تخصیص؛ 1 فعال و 0 غیرفعال,Identity and Party,Y
REF_ASSIGNMENT_REASON,دلیل تخصیص,PARENT_CODE,کد والد,کد والد دلیل تخصیص در ساختار سلسله‌مراتبی، در صورت کاربرد,Identity and Party,Y
REF_ASSIGNMENT_REASON,دلیل تخصیص,VALID_FROM,شروع اعتبار,تاریخ شروع اعتبار دلیل تخصیص,Identity and Party,Y
REF_ASSIGNMENT_REASON,دلیل تخصیص,VALID_TO,پایان اعتبار,تاریخ پایان اعتبار دلیل تخصیص,Identity and Party,Y
REF_ASSIGNMENT_REASON,دلیل تخصیص,RECORD_VERSION,نسخه رکورد,شماره نسخه رکورد دلیل تخصیص برای کنترل هم‌زمانی,Identity and Party,Y
REF_AUDIT_ACTION,نوع عملیات ممیزی,AUDIT_ACTION_CODE,کد نوع عملیات ممیزی,کد نوع عملیات ممیزی,Workflow and Interaction,Y
REF_AUDIT_ACTION,نوع عملیات ممیزی,NAME_FA,عنوان فارسی,عنوان فارسی نوع عملیات ممیزی,Workflow and Interaction,Y
REF_AUDIT_ACTION,نوع عملیات ممیزی,NAME_EN,عنوان انگلیسی,عنوان انگلیسی نوع عملیات ممیزی,Workflow and Interaction,Y
REF_AUDIT_ACTION,نوع عملیات ممیزی,DESCRIPTION_FA,توضیحات فارسی,توضیحات فارسی نوع عملیات ممیزی,Workflow and Interaction,Y
REF_AUDIT_ACTION,نوع عملیات ممیزی,SORT_ORDER,ترتیب نمایش,ترتیب نمایش نوع عملیات ممیزی در فهرست‌های مرجع,Workflow and Interaction,Y
REF_AUDIT_ACTION,نوع عملیات ممیزی,IS_ACTIVE,فعال است؟,نشانگر فعال بودن نوع عملیات ممیزی؛ 1 فعال و 0 غیرفعال,Workflow and Interaction,Y
REF_AUDIT_ACTION,نوع عملیات ممیزی,PARENT_CODE,کد والد,کد والد نوع عملیات ممیزی در ساختار سلسله‌مراتبی، در صورت کاربرد,Workflow and Interaction,Y
REF_AUDIT_ACTION,نوع عملیات ممیزی,VALID_FROM,شروع اعتبار,تاریخ شروع اعتبار نوع عملیات ممیزی,Workflow and Interaction,Y
REF_AUDIT_ACTION,نوع عملیات ممیزی,VALID_TO,پایان اعتبار,تاریخ پایان اعتبار نوع عملیات ممیزی,Workflow and Interaction,Y
REF_AUDIT_ACTION,نوع عملیات ممیزی,RECORD_VERSION,نسخه رکورد,شماره نسخه رکورد نوع عملیات ممیزی برای کنترل هم‌زمانی,Workflow and Interaction,Y
REF_AUDIT_ENTITY_TYPE,نوع موجودیت ممیزی,AUDIT_ENTITY_TYPE_CODE,کد نوع موجودیت ممیزی,کد نوع موجودیت ممیزی,Workflow and Interaction,Y
REF_AUDIT_ENTITY_TYPE,نوع موجودیت ممیزی,NAME_FA,عنوان فارسی,عنوان فارسی نوع موجودیت ممیزی,Workflow and Interaction,Y
REF_AUDIT_ENTITY_TYPE,نوع موجودیت ممیزی,NAME_EN,عنوان انگلیسی,عنوان انگلیسی نوع موجودیت ممیزی,Workflow and Interaction,Y
REF_AUDIT_ENTITY_TYPE,نوع موجودیت ممیزی,DESCRIPTION_FA,توضیحات فارسی,توضیحات فارسی نوع موجودیت ممیزی,Workflow and Interaction,Y
REF_AUDIT_ENTITY_TYPE,نوع موجودیت ممیزی,SORT_ORDER,ترتیب نمایش,ترتیب نمایش نوع موجودیت ممیزی در فهرست‌های مرجع,Workflow and Interaction,Y
REF_AUDIT_ENTITY_TYPE,نوع موجودیت ممیزی,IS_ACTIVE,فعال است؟,نشانگر فعال بودن نوع موجودیت ممیزی؛ 1 فعال و 0 غیرفعال,Workflow and Interaction,Y
REF_AUDIT_ENTITY_TYPE,نوع موجودیت ممیزی,PARENT_CODE,کد والد,کد والد نوع موجودیت ممیزی در ساختار سلسله‌مراتبی، در صورت کاربرد,Workflow and Interaction,Y
REF_AUDIT_ENTITY_TYPE,نوع موجودیت ممیزی,VALID_FROM,شروع اعتبار,تاریخ شروع اعتبار نوع موجودیت ممیزی,Workflow and Interaction,Y
REF_AUDIT_ENTITY_TYPE,نوع موجودیت ممیزی,VALID_TO,پایان اعتبار,تاریخ پایان اعتبار نوع موجودیت ممیزی,Workflow and Interaction,Y
REF_AUDIT_ENTITY_TYPE,نوع موجودیت ممیزی,RECORD_VERSION,نسخه رکورد,شماره نسخه رکورد نوع موجودیت ممیزی برای کنترل هم‌زمانی,Workflow and Interaction,Y
REF_AUDIT_REASON,دلیل ممیزی,AUDIT_REASON_CODE,کد دلیل ممیزی,کد دلیل ممیزی,Workflow and Interaction,Y
REF_AUDIT_REASON,دلیل ممیزی,NAME_FA,عنوان فارسی,عنوان فارسی دلیل ممیزی,Workflow and Interaction,Y
REF_AUDIT_REASON,دلیل ممیزی,NAME_EN,عنوان انگلیسی,عنوان انگلیسی دلیل ممیزی,Workflow and Interaction,Y
REF_AUDIT_REASON,دلیل ممیزی,DESCRIPTION_FA,توضیحات فارسی,توضیحات فارسی دلیل ممیزی,Workflow and Interaction,Y
REF_AUDIT_REASON,دلیل ممیزی,SORT_ORDER,ترتیب نمایش,ترتیب نمایش دلیل ممیزی در فهرست‌های مرجع,Workflow and Interaction,Y
REF_AUDIT_REASON,دلیل ممیزی,IS_ACTIVE,فعال است؟,نشانگر فعال بودن دلیل ممیزی؛ 1 فعال و 0 غیرفعال,Workflow and Interaction,Y
REF_AUDIT_REASON,دلیل ممیزی,PARENT_CODE,کد والد,کد والد دلیل ممیزی در ساختار سلسله‌مراتبی، در صورت کاربرد,Workflow and Interaction,Y
REF_AUDIT_REASON,دلیل ممیزی,VALID_FROM,شروع اعتبار,تاریخ شروع اعتبار دلیل ممیزی,Workflow and Interaction,Y
REF_AUDIT_REASON,دلیل ممیزی,VALID_TO,پایان اعتبار,تاریخ پایان اعتبار دلیل ممیزی,Workflow and Interaction,Y
REF_AUDIT_REASON,دلیل ممیزی,RECORD_VERSION,نسخه رکورد,شماره نسخه رکورد دلیل ممیزی برای کنترل هم‌زمانی,Workflow and Interaction,Y
REF_AUTHORITY_SCOPE,دامنه اختیار,AUTHORITY_SCOPE_CODE,کد دامنه اختیار,کد دامنه اختیار,Identity and Party,Y
REF_AUTHORITY_SCOPE,دامنه اختیار,NAME_FA,عنوان فارسی,عنوان فارسی دامنه اختیار,Identity and Party,Y
REF_AUTHORITY_SCOPE,دامنه اختیار,NAME_EN,عنوان انگلیسی,عنوان انگلیسی دامنه اختیار,Identity and Party,Y
REF_AUTHORITY_SCOPE,دامنه اختیار,DESCRIPTION_FA,توضیحات فارسی,توضیحات فارسی دامنه اختیار,Identity and Party,Y
REF_AUTHORITY_SCOPE,دامنه اختیار,SORT_ORDER,ترتیب نمایش,ترتیب نمایش دامنه اختیار در فهرست‌های مرجع,Identity and Party,Y
REF_AUTHORITY_SCOPE,دامنه اختیار,IS_ACTIVE,فعال است؟,نشانگر فعال بودن دامنه اختیار؛ 1 فعال و 0 غیرفعال,Identity and Party,Y
REF_AUTHORITY_SCOPE,دامنه اختیار,PARENT_CODE,کد والد,کد والد دامنه اختیار در ساختار سلسله‌مراتبی، در صورت کاربرد,Identity and Party,Y
REF_AUTHORITY_SCOPE,دامنه اختیار,VALID_FROM,شروع اعتبار,تاریخ شروع اعتبار دامنه اختیار,Identity and Party,Y
REF_AUTHORITY_SCOPE,دامنه اختیار,VALID_TO,پایان اعتبار,تاریخ پایان اعتبار دامنه اختیار,Identity and Party,Y
REF_AUTHORITY_SCOPE,دامنه اختیار,RECORD_VERSION,نسخه رکورد,شماره نسخه رکورد دامنه اختیار برای کنترل هم‌زمانی,Identity and Party,Y
REF_AUTHORITY_TYPE,نوع اختیار,AUTHORITY_TYPE_CODE,کد نوع اختیار,کد نوع اختیار,Identity and Party,Y
REF_AUTHORITY_TYPE,نوع اختیار,NAME_FA,عنوان فارسی,عنوان فارسی نوع اختیار,Identity and Party,Y
REF_AUTHORITY_TYPE,نوع اختیار,NAME_EN,عنوان انگلیسی,عنوان انگلیسی نوع اختیار,Identity and Party,Y
REF_AUTHORITY_TYPE,نوع اختیار,DESCRIPTION_FA,توضیحات فارسی,توضیحات فارسی نوع اختیار,Identity and Party,Y
REF_AUTHORITY_TYPE,نوع اختیار,SORT_ORDER,ترتیب نمایش,ترتیب نمایش نوع اختیار در فهرست‌های مرجع,Identity and Party,Y
REF_AUTHORITY_TYPE,نوع اختیار,IS_ACTIVE,فعال است؟,نشانگر فعال بودن نوع اختیار؛ 1 فعال و 0 غیرفعال,Identity and Party,Y
REF_AUTHORITY_TYPE,نوع اختیار,PARENT_CODE,کد والد,کد والد نوع اختیار در ساختار سلسله‌مراتبی، در صورت کاربرد,Identity and Party,Y
REF_AUTHORITY_TYPE,نوع اختیار,VALID_FROM,شروع اعتبار,تاریخ شروع اعتبار نوع اختیار,Identity and Party,Y
REF_AUTHORITY_TYPE,نوع اختیار,VALID_TO,پایان اعتبار,تاریخ پایان اعتبار نوع اختیار,Identity and Party,Y
REF_AUTHORITY_TYPE,نوع اختیار,RECORD_VERSION,نسخه رکورد,شماره نسخه رکورد نوع اختیار برای کنترل هم‌زمانی,Identity and Party,Y
REF_BRANCH,شعبه,BRANCH_CODE,کد شعبه,کد شعبه,Contact and Geography,Y
REF_BRANCH,شعبه,NAME_FA,عنوان فارسی,عنوان فارسی شعبه,Contact and Geography,Y
REF_BRANCH,شعبه,NAME_EN,عنوان انگلیسی,عنوان انگلیسی شعبه,Contact and Geography,Y
REF_BRANCH,شعبه,DESCRIPTION_FA,توضیحات فارسی,توضیحات فارسی شعبه,Contact and Geography,Y
REF_BRANCH,شعبه,SORT_ORDER,ترتیب نمایش,ترتیب نمایش شعبه در فهرست‌های مرجع,Contact and Geography,Y
REF_BRANCH,شعبه,IS_ACTIVE,فعال است؟,نشانگر فعال بودن شعبه؛ 1 فعال و 0 غیرفعال,Contact and Geography,Y
REF_BRANCH,شعبه,PARENT_CODE,کد والد,کد والد شعبه در ساختار سلسله‌مراتبی، در صورت کاربرد,Contact and Geography,Y
REF_BRANCH,شعبه,VALID_FROM,شروع اعتبار,تاریخ شروع اعتبار شعبه,Contact and Geography,Y
REF_BRANCH,شعبه,VALID_TO,پایان اعتبار,تاریخ پایان اعتبار شعبه,Contact and Geography,Y
REF_BRANCH,شعبه,RECORD_VERSION,نسخه رکورد,شماره نسخه رکورد شعبه برای کنترل هم‌زمانی,Contact and Geography,Y
REF_CHANNEL,کانال ارتباطی,CHANNEL_CODE,کد کانال ارتباطی,کد کانال ارتباطی,Contact and Geography,Y
REF_CHANNEL,کانال ارتباطی,NAME_FA,عنوان فارسی,عنوان فارسی کانال ارتباطی,Contact and Geography,Y
REF_CHANNEL,کانال ارتباطی,NAME_EN,عنوان انگلیسی,عنوان انگلیسی کانال ارتباطی,Contact and Geography,Y
REF_CHANNEL,کانال ارتباطی,DESCRIPTION_FA,توضیحات فارسی,توضیحات فارسی کانال ارتباطی,Contact and Geography,Y
REF_CHANNEL,کانال ارتباطی,SORT_ORDER,ترتیب نمایش,ترتیب نمایش کانال ارتباطی در فهرست‌های مرجع,Contact and Geography,Y
REF_CHANNEL,کانال ارتباطی,IS_ACTIVE,فعال است؟,نشانگر فعال بودن کانال ارتباطی؛ 1 فعال و 0 غیرفعال,Contact and Geography,Y
REF_CHANNEL,کانال ارتباطی,PARENT_CODE,کد والد,کد والد کانال ارتباطی در ساختار سلسله‌مراتبی، در صورت کاربرد,Contact and Geography,Y
REF_CHANNEL,کانال ارتباطی,VALID_FROM,شروع اعتبار,تاریخ شروع اعتبار کانال ارتباطی,Contact and Geography,Y
REF_CHANNEL,کانال ارتباطی,VALID_TO,پایان اعتبار,تاریخ پایان اعتبار کانال ارتباطی,Contact and Geography,Y
REF_CHANNEL,کانال ارتباطی,RECORD_VERSION,نسخه رکورد,شماره نسخه رکورد کانال ارتباطی برای کنترل هم‌زمانی,Contact and Geography,Y
REF_CLASSIFICATION_TYPE,نوع طبقه‌بندی,CLASSIFICATION_TYPE_CODE,کد نوع طبقه‌بندی,کد نوع طبقه‌بندی,Identity and Party,Y
REF_CLASSIFICATION_TYPE,نوع طبقه‌بندی,NAME_FA,عنوان فارسی,عنوان فارسی نوع طبقه‌بندی,Identity and Party,Y
REF_CLASSIFICATION_TYPE,نوع طبقه‌بندی,NAME_EN,عنوان انگلیسی,عنوان انگلیسی نوع طبقه‌بندی,Identity and Party,Y
REF_CLASSIFICATION_TYPE,نوع طبقه‌بندی,DESCRIPTION_FA,توضیحات فارسی,توضیحات فارسی نوع طبقه‌بندی,Identity and Party,Y
REF_CLASSIFICATION_TYPE,نوع طبقه‌بندی,SORT_ORDER,ترتیب نمایش,ترتیب نمایش نوع طبقه‌بندی در فهرست‌های مرجع,Identity and Party,Y
REF_CLASSIFICATION_TYPE,نوع طبقه‌بندی,IS_ACTIVE,فعال است؟,نشانگر فعال بودن نوع طبقه‌بندی؛ 1 فعال و 0 غیرفعال,Identity and Party,Y
REF_CLASSIFICATION_TYPE,نوع طبقه‌بندی,PARENT_CODE,کد والد,کد والد نوع طبقه‌بندی در ساختار سلسله‌مراتبی، در صورت کاربرد,Identity and Party,Y
REF_CLASSIFICATION_TYPE,نوع طبقه‌بندی,VALID_FROM,شروع اعتبار,تاریخ شروع اعتبار نوع طبقه‌بندی,Identity and Party,Y
REF_CLASSIFICATION_TYPE,نوع طبقه‌بندی,VALID_TO,پایان اعتبار,تاریخ پایان اعتبار نوع طبقه‌بندی,Identity and Party,Y
REF_CLASSIFICATION_TYPE,نوع طبقه‌بندی,RECORD_VERSION,نسخه رکورد,شماره نسخه رکورد نوع طبقه‌بندی برای کنترل هم‌زمانی,Identity and Party,Y
REF_CLASSIFICATION_VALUE,مقادیر طبقه‌بندی,CLASSIFICATION_TYPE_CODE,نوع طبقه‌بندی,نوع طبقه‌بندی,Identity and Party,Y
REF_CLASSIFICATION_VALUE,مقادیر طبقه‌بندی,CLASSIFICATION_VALUE_CODE,کد مقدار طبقه‌بندی,کد مقدار طبقه‌بندی,Identity and Party,Y
REF_CLASSIFICATION_VALUE,مقادیر طبقه‌بندی,NAME_FA,عنوان فارسی,عنوان فارسی مقادیر طبقه‌بندی,Identity and Party,Y
REF_CLASSIFICATION_VALUE,مقادیر طبقه‌بندی,NAME_EN,عنوان انگلیسی,عنوان انگلیسی مقادیر طبقه‌بندی,Identity and Party,Y
REF_CLASSIFICATION_VALUE,مقادیر طبقه‌بندی,DESCRIPTION_FA,توضیحات فارسی,توضیحات فارسی مقادیر طبقه‌بندی,Identity and Party,Y
REF_CLASSIFICATION_VALUE,مقادیر طبقه‌بندی,SORT_ORDER,ترتیب نمایش,ترتیب نمایش مقادیر طبقه‌بندی در فهرست‌های مرجع,Identity and Party,Y
REF_CLASSIFICATION_VALUE,مقادیر طبقه‌بندی,IS_ACTIVE,فعال است؟,نشانگر فعال بودن مقادیر طبقه‌بندی؛ 1 فعال و 0 غیرفعال,Identity and Party,Y
REF_CLASSIFICATION_VALUE,مقادیر طبقه‌بندی,PARENT_CODE,کد والد,کد والد مقادیر طبقه‌بندی در ساختار سلسله‌مراتبی، در صورت کاربرد,Identity and Party,Y
REF_CLASSIFICATION_VALUE,مقادیر طبقه‌بندی,VALID_FROM,شروع اعتبار,تاریخ شروع اعتبار مقادیر طبقه‌بندی,Identity and Party,Y
REF_CLASSIFICATION_VALUE,مقادیر طبقه‌بندی,VALID_TO,پایان اعتبار,تاریخ پایان اعتبار مقادیر طبقه‌بندی,Identity and Party,Y
REF_CLASSIFICATION_VALUE,مقادیر طبقه‌بندی,RECORD_VERSION,نسخه رکورد,شماره نسخه رکورد مقادیر طبقه‌بندی برای کنترل هم‌زمانی,Identity and Party,Y
REF_COMMUNICATION_PURPOSE,هدف ارتباطات,COMMUNICATION_PURPOSE_CODE,کد هدف ارتباطات,کد هدف ارتباطات,Contact and Geography,Y
REF_COMMUNICATION_PURPOSE,هدف ارتباطات,NAME_FA,عنوان فارسی,عنوان فارسی هدف ارتباطات,Contact and Geography,Y
REF_COMMUNICATION_PURPOSE,هدف ارتباطات,NAME_EN,عنوان انگلیسی,عنوان انگلیسی هدف ارتباطات,Contact and Geography,Y
REF_COMMUNICATION_PURPOSE,هدف ارتباطات,DESCRIPTION_FA,توضیحات فارسی,توضیحات فارسی هدف ارتباطات,Contact and Geography,Y
REF_COMMUNICATION_PURPOSE,هدف ارتباطات,SORT_ORDER,ترتیب نمایش,ترتیب نمایش هدف ارتباطات در فهرست‌های مرجع,Contact and Geography,Y
REF_COMMUNICATION_PURPOSE,هدف ارتباطات,IS_ACTIVE,فعال است؟,نشانگر فعال بودن هدف ارتباطات؛ 1 فعال و 0 غیرفعال,Contact and Geography,Y
REF_COMMUNICATION_PURPOSE,هدف ارتباطات,PARENT_CODE,کد والد,کد والد هدف ارتباطات در ساختار سلسله‌مراتبی، در صورت کاربرد,Contact and Geography,Y
REF_COMMUNICATION_PURPOSE,هدف ارتباطات,VALID_FROM,شروع اعتبار,تاریخ شروع اعتبار هدف ارتباطات,Contact and Geography,Y
REF_COMMUNICATION_PURPOSE,هدف ارتباطات,VALID_TO,پایان اعتبار,تاریخ پایان اعتبار هدف ارتباطات,Contact and Geography,Y
REF_COMMUNICATION_PURPOSE,هدف ارتباطات,RECORD_VERSION,نسخه رکورد,شماره نسخه رکورد هدف ارتباطات برای کنترل هم‌زمانی,Contact and Geography,Y
REF_COMPLAINT_RESOLUTION,نتیجه رسیدگی به شکایت,COMPLAINT_RESOLUTION_CODE,کد نتیجه رسیدگی به شکایت,کد نتیجه رسیدگی به شکایت,Workflow and Interaction,Y
REF_COMPLAINT_RESOLUTION,نتیجه رسیدگی به شکایت,NAME_FA,عنوان فارسی,عنوان فارسی نتیجه رسیدگی به شکایت,Workflow and Interaction,Y
REF_COMPLAINT_RESOLUTION,نتیجه رسیدگی به شکایت,NAME_EN,عنوان انگلیسی,عنوان انگلیسی نتیجه رسیدگی به شکایت,Workflow and Interaction,Y
REF_COMPLAINT_RESOLUTION,نتیجه رسیدگی به شکایت,DESCRIPTION_FA,توضیحات فارسی,توضیحات فارسی نتیجه رسیدگی به شکایت,Workflow and Interaction,Y
REF_COMPLAINT_RESOLUTION,نتیجه رسیدگی به شکایت,SORT_ORDER,ترتیب نمایش,ترتیب نمایش نتیجه رسیدگی به شکایت در فهرست‌های مرجع,Workflow and Interaction,Y
REF_COMPLAINT_RESOLUTION,نتیجه رسیدگی به شکایت,IS_ACTIVE,فعال است؟,نشانگر فعال بودن نتیجه رسیدگی به شکایت؛ 1 فعال و 0 غیرفعال,Workflow and Interaction,Y
