component_id,source_row,page,section_no,tariff_code,service_name,sequence,rule_type,status,customer_group,percent,permille,rate_limit,amount,min_fee,max_fee,lower_bound,upper_bound,range_basis,basis,unit,frequency,extra_cost,reference,condition,description,original_fee_text,source_ref
3-4-01,29,2,3,3-4,تخلیه و تحویل صندوق,1,NO_FEE,بدون کارمزد,,,,,,,,,,,,,,,,,بدون کارمزد,بدون کارمزد,پیوست (کارمزدهای ریالی).pdf - صفحه 2
3-5-01,30,2,3,3-5,هماهنگی جهت بازدید از صندوق اجاره ای به درخواست مراجع ذی صلاح,1,NO_FEE,بدون کارمزد,,,,,,,,,,,,,,,,,بدون کارمزد,بدون کارمزد,پیوست (کارمزدهای ریالی).pdf - صفحه 2
4-1-01,31,3,4,4-1,انتقال هر برگ اوراق گواهی حق تقدم اعطای تسهیلات,1,FIXED_AMOUNT,دارای کارمزد,,,,,66000,,,,,,,,,,,,"66,000 ریال","66,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 3
4-2-01,32,3,4,4-2,صدور هر برگ المثنی اوراق حق تقدم اعطای تسهیلات,1,FIXED_AMOUNT,دارای کارمزد,,,,,110000,,,,,,,,,,,,"110,000 ریال","110,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 3
4-3-01,33,3,4,4-3,تضمین اصل و سود اوراق بدهی توسط مؤسسه اعتباری عامل,1,FORMULA,فرمولی,,,,,,,,,,,مجموع مانده اصل و سود اوراق بدهی در پایان هر سال,,سالانه,,کارمزد صدور ضمانتنامه متناسب با وثایق,حداقل برابر کارمزد صدور ضمانتنامه و حداکثر دو برابر آن,حداقل به میزان کارمزد صدور ضمانتنامه ها متناسب با وثایق و حداکثر تا دو برابر آن به مأخذ مجموع مانده اصل و سود اوراق بدهی در پایان هر سال,حداقل به میزان کارمزد صدور ضمانتنامه ها متناسب با وثایق و حداکثر تا دو برابر آن به مأخذ مجموع مانده اصل و سود اوراق بدهی در پایان هر سال,پیوست (کارمزدهای ریالی).pdf - صفحه 3
4-4-01,34,3,4,4-4,انتقال اوراق بهادار/نقل و انتقال اوراق گواهی سپرده با نام به شخص ثالث,1,RATE,دارای کارمزد,,,0.5,دقیق,,,480000,,,,مبلغ مورد انتقال,,,,,,"نیم در هزار مبلغ مورد انتقال، حداکثر 480,000 ریال","نیم در هزار مبلغ مورد انتقال، حداکثر 480,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 3
4-5-01,35,3,4,4-5,عاملیت و ضمانت اوراق گواهی اعتبار مولد (گام),1,REFERENCE,تعرفه مرجع,,,,,,,,,,,,,,,کارمزد صدور ضمانتنامه متناسب با وثایق دریافتی,حداکثر,حداکثر به میزان کارمزد صدور ضمانتنامه ها و متناسب با وثایق دریافتی,حداکثر به میزان کارمزد صدور ضمانتنامه ها و متناسب با وثایق دریافتی,پیوست (کارمزدهای ریالی).pdf - صفحه 3
4-6-01,36,3,4,4-6,انتقال اوراق گواهی اعتبار مولد (گام),1,RATE,دارای کارمزد,,0.1,,حداکثر,,,,,,,مبلغ اوراق انتقال یافته,,,,,,حداکثر به میزان یک دهم درصد مبلغ اوراق انتقال یافته,حداکثر به میزان یک دهم درصد مبلغ اوراق انتقال یافته,پیوست (کارمزدهای ریالی).pdf - صفحه 3
4-7-01,37,3,4,4-7,ابطال اوراق گواهی اعتبار مولد (گام) در لایه اول زنجیره تولید (از متقاضی) (1),1,RATE,دارای کارمزد,,,0.5,حداکثر,,,,,,,مبلغ ابطال اوراق,,,,,,حداکثر نیم در هزار مبلغ ابطال اوراق,حداکثر نیم در هزار مبلغ ابطال اوراق,پیوست (کارمزدهای ریالی).pdf - صفحه 3
4-8-01,38,3,4,4-8,انتقال اوراق گام به بازار سرمایه (با نماد بازار سرمایه),1,RATE,دارای کارمزد,,,0.5,حداکثر,,,,,,,مبلغ مورد انتقال,,,,,,حداکثر نیم در هزار مبلغ مورد انتقال,حداکثر نیم در هزار مبلغ مورد انتقال,پیوست (کارمزدهای ریالی).pdf - صفحه 3
4-9-01,39,3,4,4-9,تنزیل (خرید دین) اوراق گام (با نماد بازار پول),1,RATE,دارای کارمزد,,,0.5,حداکثر,,,,,,,مبلغ تنزیل شده,,,,,,حداکثر نیم در هزار مبلغ تنزیل شده,حداکثر نیم در هزار مبلغ تنزیل شده,پیوست (کارمزدهای ریالی).pdf - صفحه 3
4-10-01,40,3,4,4-10,توثیق اوراق گواهی اعتبار مولد (گام),1,RATE,دارای کارمزد,,,0.5,حداکثر,,,,,,,مبلغ مورد توثیق,,,,,,حداکثر نیم در هزار مبلغ مورد توثیق,حداکثر نیم در هزار مبلغ مورد توثیق,پیوست (کارمزدهای ریالی).pdf - صفحه 3
4-11-01,41,3,4,4-11,بررسی و پذیرش مطالبات قراردادی با موضوع تأمین کالا,1,RATE,دارای کارمزد,,,0.5,حداکثر,,,,,,,مبلغ توافقی واریزی به حساب تأمین کننده,,,,,,حداکثر معادل نیم در هزار مبلغ توافقی واریزی به حساب تأمین کننده,حداکثر معادل نیم در هزار مبلغ توافقی واریزی به حساب تأمین کننده,پیوست (کارمزدهای ریالی).pdf - صفحه 3
4-12-01,42,3,4,4-12,بررسی و پذیرش مطالبات قراردادی با موضوع تأمین خدمات,1,RATE,دارای کارمزد,,,1.5,حداکثر,,,,,,,مبلغ توافقی واریزی به حساب تأمین کننده,,,,,,حداکثر معادل یک و نیم در هزار مبلغ توافقی واریزی به حساب تأمین کننده,حداکثر معادل یک و نیم در هزار مبلغ توافقی واریزی به حساب تأمین کننده,پیوست (کارمزدهای ریالی).pdf - صفحه 3
4-13-01,43,3,4,4-13,کارت رفاهی متصل به اوراق گواهی اعتبار مولد (گام) (به صورت اقساط مساوی در دوره بازپرداخت),1,RATE,دارای کارمزد,,3,,حداکثر,,,,,,,,,,,,,حداکثر به میزان 3 درصد,حداکثر به میزان 3 درصد,پیوست (کارمزدهای ریالی).pdf - صفحه 3
4-14-01,44,3,4,4-14,صدور اوراق گواهی اعتبار مولد (گام) یارانه دارو,1,RATE,دارای کارمزد,,0.5,,حداکثر,,,,,,,,,سالانه,,,,حداکثر به میزان 0.5 درصد سالانه,حداکثر به میزان 0.5 درصد سالانه,پیوست (کارمزدهای ریالی).pdf - صفحه 3
5-1-01,45,3,5,5-1,سفته، برات و قبوض ثبتی وصولی,1,FIXED_AMOUNT,دارای کارمزد,,,,,144000,,,,,,,فقره,,هزینه پست,,,"هر فقره 144,000 ریال + هزینه پست","هر فقره 144,000 ریال + هزینه پست",پیوست (کارمزدهای ریالی).pdf - صفحه 3
5-2-01,46,3,5,5-2,ابلاغ سفته و برات,1,FIXED_AMOUNT,دارای کارمزد,,,,,86400,,,,,,,نوبت,هر نوبت,هزینه پست,,,"برای هر نوبت 86,400 ریال + هزینه پست","برای هر نوبت 86,400 ریال + هزینه پست",پیوست (کارمزدهای ریالی).pdf - صفحه 3
5-3-01,47,3,5,5-3,واخواست سفته,1,FIXED_AMOUNT,دارای کارمزد,,,,,1152000,,,,,,,برگ,,,,,"برای هر برگ 1,152,000 ریال","برای هر برگ 1,152,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 3
5-4-01,48,3,5,5-4,فروش سفته/براتنامه (از متقاضی),1,FIXED_AMOUNT,دارای کارمزد,,,,,120000,,2400000,,,,,برگ,,,,,"برای هر برگ 120,000 ریال، حداکثر 2,400,000 ریال","برای هر برگ 120,000 ریال، حداکثر 2,400,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 3
5-5-01,49,3,5,5-5,قبولی «برات الکترونیکی زنجیره تولید»,1,REFERENCE,تعرفه مرجع,,,,,,,,,,,,,,,کارمزد صدور ضمانتنامه متناسب با وثایق دریافتی,,مشابه کارمزد صدور ضمانتنامه و متناسب با وثایق دریافتی,مشابه کارمزد صدور ضمانتنامه و متناسب با وثایق دریافتی,پیوست (کارمزدهای ریالی).pdf - صفحه 3
5-6-01,50,3,5,5-6,انتقال «برات الکترونیکی زنجیره تولید»,1,RATE,دارای کارمزد,,,1,حداکثر,,,,,,,مبلغ خدمت/معامله,,,,,,حداکثر یک در هزار مبلغ برات انتقال یافته,حداکثر یک در هزار مبلغ برات انتقال یافته,پیوست (کارمزدهای ریالی).pdf - صفحه 3
6-1-1-01,51,4,6,6-1-1,تقاضای عدم پرداخت چک,1,FIXED_AMOUNT,دارای کارمزد,,,,,288000,,,,,,,برگ چک,,,,,"هر برگ چک 288,000 ریال","هر برگ چک 288,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 4
6-1-2-01,52,4,6,6-1-2,صدور گواهی نامه عدم پرداخت وجه چک,1,FIXED_AMOUNT,دارای کارمزد,,,,,288000,,,,,,,,,,,,"288,000 ریال","288,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 4
6-1-3-01,53,4,6,6-1-3,رفع سوء اثر برای هر برگ چک,1,FIXED_AMOUNT,دارای کارمزد,,,,,288000,,,,,,,,,,,,"288,000 ریال","288,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 4
6-1-4-01,54,4,6,6-1-4,انتقال حساب جاری به شعبه دیگر در هر شهر (بنا به درخواست مشتری),1,FIXED_AMOUNT,دارای کارمزد,,,,,864000,,,,,,,,,هزینه پست,,,"864,000 ریال + هزینه پست در صورت وجود","864,000 ریال + هزینه پست در صورت وجود",پیوست (کارمزدهای ریالی).pdf - صفحه 4
6-1-5-01,55,4,6,6-1-5,اخذ هرگونه اطلاعات لازم جهت افتتاح حساب سپرده قرض الحسنه جاری با/بدون دسته چک,1,FIXED_AMOUNT,دارای کارمزد,,,,,,120000,,,,,,,,هزینه استعلام,,,"حداقل 120,000 ریال + هزینه استعلام (هزینه استعلام از سامانه های ذی ربط نظیر سامانه شاهکار می باشد)","حداقل 120,000 ریال + هزینه استعلام (هزینه استعلام از سامانه های ذی ربط نظیر سامانه شاهکار می باشد)",پیوست (کارمزدهای ریالی).pdf - صفحه 4
6-1-6-01,56,4,6,6-1-6,افتتاح حساب سپرده قرض الحسنه جاری موقت (برای شخص حقوقی در شرف تأسیس),1,FIXED_AMOUNT,دارای کارمزد,,,,,120000,,,,,,,,,,,,"120,000 ریال","120,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 4
6-1-7-01,57,4,6,6-1-7,چک های واگذاری عهده سایر مؤسسات اعتباری (از ذی نفع چک),1,FIXED_AMOUNT,دارای کارمزد,,,,,28800,,,,,,,فقره,,,,,"هر فقره 28,800 ریال","هر فقره 28,800 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 4
6-1-8-01,58,4,6,6-1-8,انتقال وجه از سایر حساب های مشتری بابت تأمین وجه چک,1,FIXED_AMOUNT,دارای کارمزد,,,,,144000,,,,,,,حساب,,,,,"از هر حساب 144,000 ریال","از هر حساب 144,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 4
6-1-9-01,59,4,6,6-1-9,اخذ گزارش اعتباری برای صدور دسته چک اشخاص حقیقی,1,REFERENCE,تعرفه مرجع,,,,,,,,,,,,,,,تعرفه ابلاغی بانک مرکزی به شرکت رتبه بندی اعتباری ایران,,مطابق تعرفه ابلاغی بانک مرکزی به شرکت رتبه بندی اعتباری ایران,مطابق تعرفه ابلاغی بانک مرکزی به شرکت رتبه بندی اعتباری ایران,پیوست (کارمزدهای ریالی).pdf - صفحه 4
6-1-10-01,60,4,6,6-1-10,صدور دسته چک,1,FIXED_AMOUNT,دارای کارمزد,,,,,120000,,,,,,,,,هزینه تمبر مالیاتی + مبلغ پرداختی به چاپخانه دولتی,,,"120,000 ریال + مبلغ پرداختی به چاپخانه دولتی (بهای تمام شده) + هزینه تمبر مالیاتی","120,000 ریال + مبلغ پرداختی به چاپخانه دولتی (بهای تمام شده) + هزینه تمبر مالیاتی",پیوست (کارمزدهای ریالی).pdf - صفحه 4
6-1-11-01,61,4,6,6-1-11,صدور المثنی (چاپ مجدد) گواهی نامه عدم پرداخت صادرشده قبلی به درخواست مشتری,1,FIXED_AMOUNT,دارای کارمزد,,,,,44000,,,,,,,,,,,,"44,000 ریال","44,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 4
6-1-12-01,62,4,6,6-1-12,ابطال/استرداد چک صادره توسط اشخاص به درخواست مشتری با ارائه لاشه چک باطل شده,1,FIXED_AMOUNT,دارای کارمزد,,,,,22000,,,,,,,,,,,,"22,000 ریال","22,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 4
6-1-13-01,63,4,6,6-1-13,اخذ صورت اطلاعات چک های برگشتی به درخواست مشتری,1,FIXED_AMOUNT,دارای کارمزد,,,,,52800,,,,,,,,,,,,"52,800 ریال","52,800 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 4
6-1-14-01,64,4,6,6-1-14,تحویل دسته چک به مشتری در شعبه ای غیر از شعبه افتتاح کننده حساب سپرده قرض الحسنه جاری,1,FIXED_AMOUNT,دارای کارمزد,,,,,48000,,,,,,,,,,,,"48,000 ریال","48,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 4
6-1-15-01,65,4,6,6-1-15,نگهداری امانی چک های با سررسید بیش از 30 روز (به استثنای چک های مأخوذه بابت تضمین تسهیلات),1,FIXED_AMOUNT,دارای کارمزد,,,,,12000,,,,,,,برگ چک,,,,,"بابت هر برگ چک 12,000 ریال","بابت هر برگ چک 12,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 4
6-1-16-01,66,4,6,6-1-16,صدور چک موردی جاری اشخاص,1,FIXED_AMOUNT,دارای کارمزد,,,,,140000,,,,,,,,,,,,"140,000 ریال","140,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 4
6-2-1-01,67,5,6,6-2-1,افتتاح حساب سپرده قرض الحسنه پس انداز,1,NO_FEE,بدون کارمزد,,,,,,,,,,,,,,,,,بدون کارمزد,بدون کارمزد,پیوست (کارمزدهای ریالی).pdf - صفحه 5
6-2-2-01,68,5,6,6-2-2,افتتاح حساب سپرده سرمایه گذاری کوتاه مدت,1,FIXED_AMOUNT,دارای کارمزد,,,,,120000,,,,,,,,,,,,"120,000 ریال","120,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 5
6-2-3-01,69,5,6,6-2-3,صدور هر جلد دفترچه صرفاً جهت حساب های سپرده سرمایه گذاری کوتاه مدت,1,FIXED_AMOUNT,دارای کارمزد,,,,,96000,,,,,,,,,,,,"96,000 ریال","96,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 5
6-3-1-01,70,5,6,6-3-1,صدور هرگونه گواهی حساب,1,FIXED_AMOUNT,دارای کارمزد,,,,,201500,,,,,,,,,,,,"201,500 ریال","201,500 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 5
6-3-2-01,71,5,6,6-3-2,صدور گواهی حساب به لاتین,1,FIXED_AMOUNT,دارای کارمزد,,,,,432000,,,,,,,فقره,,,,,"هر فقره 432,000 ریال","هر فقره 432,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 5
6-3-3-01,72,5,6,6-3-3,صدور المثنی گواهی سپرده های سرمایه گذاری ویژه کوتاه مدت و بلندمدت,1,FIXED_AMOUNT,دارای کارمزد,,,,,132000,,,,,,,,,,,,"132,000 ریال","132,000 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 5
6-4-1-01,73,5,6,6-4-1,ارائه نسخه فیزیکی صورت حساب به مشتری,1,FIXED_AMOUNT,دارای کارمزد,,,,,14500,,,,,,,صفحه,,,,,"هر صفحه 14,500 ریال","هر صفحه 14,500 ریال",پیوست (کارمزدهای ریالی).pdf - صفحه 5
